Feature,Mean_Abs_SHAP
combined_risk,0.795725376
total_activity,0.466951827
behavioral_risk_3week_avg,0.204105798
file_ratio,0.101627581
file_activity,0.088615471
email_weekly_emails_with_attachments,0.08437788
http_weekly_active_days,0.068367228
logon_weekly_active_days,0.066963063
logon_weekly_distinct_pcs,0.063306354
device_weekly_avg_device_connections_per_day,0.061173646
risk_score,0.045192332
file_change,0.044503348
behavioral_risk_raw,0.043646526
anomaly_score,0.036225212
file_weekly_total_file_events,0.034560349
email_weekly_active_days,0.029430114
risk_score_normalized,0.027559629
email_ratio,0.027088946
email_weekly_high_recipient_emails,0.024121793
email_weekly_avg_emails_per_day,0.021415278
device_activity,0.020451116
http_weekly_distinct_domains,0.019963914
behavioral_risk_change,0.018475299
risk_change,0.01422067
normalized_score,0.014020178
http_weekly_total_http_events,0.009758618
device_ratio,0.009061937
device_weekly_distinct_pcs_used,0.008590465
logon_weekly_total_logins,0.007189608
http_weekly_distinct_urls,0.00623796
email_change,0.005363134
device_change,0.005270277
file_weekly_avg_files_per_day,0.005146976
http_weekly_avg_http_events_per_day,0.004556204
email_activity,0.003199662
http_weekly_avg_url_len,0.002803793
file_weekly_active_days,0.002398282
device_weekly_total_device_connections,0.00236025
email_weekly_total_emails,0.001828996
logon_weekly_odd_hour_logins,0.001748021
device_weekly_active_days,0.001193306
http_weekly_suspicious_tld_hits,0.000150991
anomaly_label,4.40E-06
behavioral_risk_score,0
is_anomalous,0
device_weekly_odd_hour_connections,0
file_weekly_distinct_pcs_used,0
